Video ID,Comment ID,Comment Link,Commenter Name,Commenter ID,Comment,Likes,Cleaned_Comment,Sentiment
sB7fSPbYFJg,UgycdW9c-JHCjxy6sTB4AaABAg,https://www.youtube.com/watch?v=sB7fSPbYFJg&lc=UgycdW9c-JHCjxy6sTB4AaABAg,@ArkanUkail-s1b,UCl5ayjbjB7U0FnkO9MvjgIA,Loh bukannya kejadian ini terjadinya di tahun 2026 ya,0,loh bukannya kejadian ini terjadinya di tahun ya,Neutral
sB7fSPbYFJg,UgxRD2BGMzVJX4jxtTN4AaABAg,https://www.youtube.com/watch?v=sB7fSPbYFJg&lc=UgxRD2BGMzVJX4jxtTN4AaABAg,@balldestroyer16,UCiYr_VCB_bRYMxX-QPqJ8OA,Damn kok kebetulan banget yah?,0,damn kok kebetulan banget yah,Neutral
sB7fSPbYFJg,UgyDw5owDtUJC3yWrWd4AaABAg,https://www.youtube.com/watch?v=sB7fSPbYFJg&lc=UgyDw5owDtUJC3yWrWd4AaABAg,@AUFAL_RIVALS,UCMvlFGGxhxqSQ5nOia4z7jg,ku kira baru upload 🗿,0,ku kira baru upload,Neutral
sB7fSPbYFJg,UgwMIdFZwH2xIi7I0G14AaABAg,https://www.youtube.com/watch?v=sB7fSPbYFJg&lc=UgwMIdFZwH2xIi7I0G14AaABAg,@ddoddo5,UCanS1fV2JP98gBgOssTgdqA,algoritmanya bisa pas banget gini ya haha,0,algoritmanya bisa pas banget gini ya haha,Neutral
sB7fSPbYFJg,UgzfJiQq4c9hiROxffF4AaABAg,https://www.youtube.com/watch?v=sB7fSPbYFJg&lc=UgzfJiQq4c9hiROxffF4AaABAg,@RaniaXiaomi,UCjxCe7IgEItMvuSzABGh1jA,apakah ini cmn kebetulan lewat doang?,0,apakah ini cmn kebetulan lewat doang,Neutral
sB7fSPbYFJg,UgwfXP4Pa-hzUB34ROV4AaABAg,https://www.youtube.com/watch?v=sB7fSPbYFJg&lc=UgwfXP4Pa-hzUB34ROV4AaABAg,@aliefgemapp1929,UCAduAl_lblyHYXS68MjDINg,ERA BOWO LEBIH PARAHHHHHH😢,0,era bowo lebih parahhhhhh,Neutral
sB7fSPbYFJg,UgwjSMKctAA7PKdaWPF4AaABAg,https://www.youtube.com/watch?v=sB7fSPbYFJg&lc=UgwjSMKctAA7PKdaWPF4AaABAg,@jogaming9837,UC7txBYG-3nDVo2A9-KKM7sw,bikin lagi min,0,bikin lagi min,Neutral
sB7fSPbYFJg,UgyxpiKiFyugmK_lBnN4AaABAg,https://www.youtube.com/watch?v=sB7fSPbYFJg&lc=UgyxpiKiFyugmK_lBnN4AaABAg,@smaajasemuacwe,UCvRTdARxSHvgMlHNLBCojCg,2016 😂,1,,Neutral
sB7fSPbYFJg,UgwkfkX6VRfMc2fInAJ4AaABAg,https://www.youtube.com/watch?v=sB7fSPbYFJg&lc=UgwkfkX6VRfMc2fInAJ4AaABAg,@tobelizuu,UCTbAtI2RIx3iETY9FrnOc3w,sekarang udah hampir nyentuh 18k 😢,0,sekarang udah hampir nyentuh k,Neutral
sB7fSPbYFJg,Ugz5WTanDGW7MF11j5V4AaABAg,https://www.youtube.com/watch?v=sB7fSPbYFJg&lc=Ugz5WTanDGW7MF11j5V4AaABAg,@dandisini5873,UCtSNda3hDl6TBWNrVbIY5-A,10 years ago anjir 😭😭😭,1,years ago anjir,Neutral
sB7fSPbYFJg,UgwTVZP2a-2CLAEIfGB4AaABAg,https://www.youtube.com/watch?v=sB7fSPbYFJg&lc=UgwTVZP2a-2CLAEIfGB4AaABAg,@sitianisah1710,UCfhHDpXSrntsQ-GR2vcQbFg,Halo dari masa depan😂,0,halo dari masa depan,Neutral
sB7fSPbYFJg,UgxO2wtkNCgVpVf03ht4AaABAg,https://www.youtube.com/watch?v=sB7fSPbYFJg&lc=UgxO2wtkNCgVpVf03ht4AaABAg,@raii-h8x5e,UC0aYulD-jCeLcJ1RJ42v4YQ,liat ini pas rupiah 18k😧,1,liat ini pas rupiah k,Neutral
sB7fSPbYFJg,UgxoaYN4ZZeKxsoKRkh4AaABAg,https://www.youtube.com/watch?v=sB7fSPbYFJg&lc=UgxoaYN4ZZeKxsoKRkh4AaABAg,@Reizenzense18,UCYdo_Ycrh3uOv8JAe9KeeWg,"Bahkan setelah 10 tahun, video ini masih relate hari ini 😂",0,bahkan setelah tahun video ini masih relate hari ini,Neutral
sB7fSPbYFJg,UgyucmiO_2GsWlKdW6t4AaABAg,https://www.youtube.com/watch?v=sB7fSPbYFJg&lc=UgyucmiO_2GsWlKdW6t4AaABAg,@babyhearts-y7p,UCejyL0bMuHNE86Jo1fumXZw,njir 10 tahun yang lalu 😬😯,0,njir tahun yang lalu,Neutral
sB7fSPbYFJg,UgxRP8KHfvogvbvBbpZ4AaABAg,https://www.youtube.com/watch?v=sB7fSPbYFJg&lc=UgxRP8KHfvogvbvBbpZ4AaABAg,@zaydan0954,UCebFLRF13F4dOmw6A1IImiw,Penonton ke 2.069.394,0,penonton ke,Neutral
sB7fSPbYFJg,UgxYX-zfpf7CLgD9nn54AaABAg,https://www.youtube.com/watch?v=sB7fSPbYFJg&lc=UgxYX-zfpf7CLgD9nn54AaABAg,@ychaw.0,UCyryWWmtFdy3ffD1Ltpy26A,10 thn lalu..,0,thn lalu,Neutral
