Comment ID,Comment Link,Commenter Name,Commenter ID,Comment,Likes,Cleaned Comment,Sentiment,Confidence Score
UgwL0FwToKzMOJO8s9F4AaABAg,https://www.youtube.com/watch?v=SVI8xheP-j4&lc=UgwL0FwToKzMOJO8s9F4AaABAg,@astronacciinternational,UCYRFEuGLfXFFvbq2-nStY9w,"Bagaimana pendapat kamu tentang MBG? Tulis pandangan kamu di kolom komentar!<br><br>Mau dapet rekomendasi trading dari Master Gema? Gabung di A-CLUB di sini: <a href=""https://astronacci.org/astronaccitrading"">https://astronacci.org/astronaccitrading</a>",250,Bagaimana pendapat kamu tentang MBG? Tulis pandangan kamu di kolom komentar! Mau dapet rekomendasi trading dari Master Gema? Gabung di A-CLUB di sini:,neutral,0.9038540720939636
UgzE6FRFOZRGBw57lHN4AaABAg,https://www.youtube.com/watch?v=SVI8xheP-j4&lc=UgzE6FRFOZRGBw57lHN4AaABAg,@tanamalttoni7972,UCVotoc_AE3x1cXbphWMUPqA,"Siapa bilang 15 atau 13 teori doang, 8000 iya",0,"Siapa bilang 15 atau 13 teori doang, 8000 iya",negative,0.9614969491958618
UgzIp9X3g6YiGppqX3h4AaABAg,https://www.youtube.com/watch?v=SVI8xheP-j4&lc=UgzIp9X3g6YiGppqX3h4AaABAg,@tanamalttoni7972,UCVotoc_AE3x1cXbphWMUPqA,"Maksut gw apa yg d omongin, tp klu dah terlanjur gini gmn penyelesainnya .. tutup aja lbh bagus",0,"Maksut gw apa yg d omongin, tp klu dah terlanjur gini gmn penyelesainnya .. tutup aja lbh bagus",negative,0.9859893321990967
Ugy3Vln3L5a8ZVPaQSB4AaABAg,https://www.youtube.com/watch?v=SVI8xheP-j4&lc=Ugy3Vln3L5a8ZVPaQSB4AaABAg,@Kartonokartono-g3d,UCoqYflPyUtSyp1PvrW5QJeA,"Rakyat tidak butuh rincian dari penjilat MBG , hentikan MBG hargaati dan Prabowo Gibran turun.",0,"Rakyat tidak butuh rincian dari penjilat MBG , hentikan MBG hargaati dan Prabowo Gibran turun.",negative,0.9841591119766235
UgzKrnHFL9ZiA8BEmuN4AaABAg,https://www.youtube.com/watch?v=SVI8xheP-j4&lc=UgzKrnHFL9ZiA8BEmuN4AaABAg,@isgianto854,UCwlWoUmcya-n9I2GZ6bew4w,Program mulia sodakoh Ama rakyat buat sangu di akherat,0,Program mulia sodakoh Ama rakyat buat sangu di akherat,negative,0.6941778659820557
UgxXickKFtDSNkpomT94AaABAg,https://www.youtube.com/watch?v=SVI8xheP-j4&lc=UgxXickKFtDSNkpomT94AaABAg,@isgianto854,UCwlWoUmcya-n9I2GZ6bew4w,Orang pinter bisa ngomong yang di bawah ini sengsara,0,Orang pinter bisa ngomong yang di bawah ini sengsara,negative,0.998746395111084
UgyrjG0fC7a_4Ncd9w14AaABAg,https://www.youtube.com/watch?v=SVI8xheP-j4&lc=UgyrjG0fC7a_4Ncd9w14AaABAg,@isgianto854,UCwlWoUmcya-n9I2GZ6bew4w,Bukan di stop tapi kita serahkan ke sekolah di pegang oleh paguyuban wali murid malah  tepat sasaran begitu,0,Bukan di stop tapi kita serahkan ke sekolah di pegang oleh paguyuban wali murid malah tepat sasaran begitu,negative,0.7985665798187256
UgzDeqG0XuSYLstdrM14AaABAg,https://www.youtube.com/watch?v=SVI8xheP-j4&lc=UgzDeqG0XuSYLstdrM14AaABAg,@masfanfandega1119,UChoZr2rvBTrTMu3OAwJj1QA,Sangat setuju pak gema 👍🏼👍🏼👍🏼,0,Sangat setuju pak gema 👍🏼👍🏼👍🏼,positive,0.9826083183288574
UgyMmwDTIdMK3JXC_zh4AaABAg,https://www.youtube.com/watch?v=SVI8xheP-j4&lc=UgyMmwDTIdMK3JXC_zh4AaABAg,@education4.026,UCLOTW1iasBb2AyipxamiU5A,saya juga gagal faham dimana tidak bermanfaatnya MBG. hanya tata kelola yg harus diperbaiki.,0,saya juga gagal faham dimana tidak bermanfaatnya MBG. hanya tata kelola yg harus diperbaiki.,negative,0.9980623126029968
UgyAxWBsvqpaz3Fzy5Z4AaABAg,https://www.youtube.com/watch?v=SVI8xheP-j4&lc=UgyAxWBsvqpaz3Fzy5Z4AaABAg,@riyantoyanto6455,UC_THXAA3e0v0ea5FZofelTg,"Untuk saat ini sepertinya rakyat sudah tidak percaya lagi pada pemerintah, karena Faktanya apapun Program yg baik dari Pemerintah dipastikan bakal di KORUPSI !<br>Solusi mendesak pemerintah HUKUM MATI PARA KORUPTOR dan SITA HASIL KORUPSINYA !",0,"Untuk saat ini sepertinya rakyat sudah tidak percaya lagi pada pemerintah, karena Faktanya apapun Program yg baik dari Pemerintah dipastikan bakal di KORUPSI ! Solusi mendesak pemerintah HUKUM MATI PARA KORUPTOR dan SITA HASIL KORUPSINYA !",negative,0.9962052702903748
